epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
83,3824.21,0.65184,0.57062,0.06677,0.6698,0.54167,0.54218,0.19215,0.78434,0.58578,0.06757,0.000320649,0.000320649,0.000320649
84,3869.92,0.64199,0.55745,0.04995,0.56145,0.65278,0.55278,0.23001,0.75535,0.58619,0.06646,0.000316888,0.000316888,0.000316888
85,3915.54,0.63739,0.53595,0.06992,0.66774,0.60417,0.59847,0.19508,0.79609,0.5749,0.06719,0.000313112,0.000313112,0.000313112
86,3961.28,0.62143,0.55119,0.05062,0.67711,0.57639,0.58903,0.23442,0.73326,0.61838,0.06275,0.00030932,0.00030932,0.00030932
87,4007.68,0.63976,0.53904,0.05415,0.60186,0.62153,0.54494,0.19397,0.76203,0.60731,0.0621,0.000305513,0.000305513,0.000305513
88,4053.42,0.63379,0.54167,0.04993,0.67497,0.60069,0.57244,0.21624,0.71123,0.62525,0.05654,0.000301693,0.000301693,0.000301693
89,4099.19,0.63244,0.53339,0.05795,0.70675,0.64931,0.61822,0.25904,0.68042,0.60912,0.05473,0.000297861,0.000297861,0.000297861
90,4145.73,0.63256,0.52823,0.0579,0.65498,0.64599,0.57445,0.21711,0.75545,0.59076,0.06065,0.000294017,0.000294017,0.000294017
91,4191.71,0.61401,0.5239,0.06957,0.66492,0.68213,0.61896,0.24742,0.73117,0.58007,0.05852,0.000290163,0.000290163,0.000290163
92,4237.32,0.61038,0.53143,0.05725,0.75057,0.62692,0.6442,0.26985,0.74871,0.57164,0.06083,0.000286299,0.000286299,0.000286299
93,4283.7,0.59939,0.54126,0.05451,0.71007,0.64629,0.61376,0.23467,0.77314,0.57783,0.07051,0.000282427,0.000282427,0.000282427
94,4329.42,0.58284,0.50295,0.0458,0.69604,0.65972,0.6077,0.23627,0.74389,0.58397,0.06541,0.000278546,0.000278546,0.000278546
95,4375.06,0.61546,0.49582,0.05944,0.68479,0.625,0.61266,0.2503,0.76535,0.60516,0.06426,0.000274659,0.000274659,0.000274659
96,4420.75,0.63957,0.50194,0.07007,0.66109,0.64583,0.62864,0.26617,0.7082,0.60065,0.05918,0.000270767,0.000270767,0.000270767
97,4466.55,0.60397,0.5194,0.05773,0.6307,0.65278,0.59286,0.23847,0.72101,0.58652,0.05745,0.000266869,0.000266869,0.000266869
98,4512.2,0.58944,0.51049,0.04522,0.67566,0.64583,0.63293,0.26027,0.73306,0.56339,0.06055,0.000262968,0.000262968,0.000262968
99,4558.08,0.57265,0.49549,0.04974,0.70919,0.64583,0.64193,0.27155,0.71082,0.57279,0.05919,0.000259063,0.000259063,0.000259063
100,4604.46,0.57984,0.50734,0.05897,0.65132,0.67708,0.61835,0.24411,0.72176,0.56843,0.06261,0.000255157,0.000255157,0.000255157
101,4650.32,0.56537,0.5044,0.05289,0.69019,0.71181,0.67363,0.27094,0.73963,0.5625,0.05876,0.00025125,0.00025125,0.00025125
102,4695.94,0.55956,0.51744,0.04168,0.67929,0.68403,0.6296,0.28313,0.72048,0.59478,0.05859,0.000247343,0.000247343,0.000247343
103,4742.21,0.64552,0.48891,0.05991,0.69643,0.65625,0.6548,0.27635,0.72082,0.56678,0.05734,0.000243437,0.000243437,0.000243437
104,4787.73,0.58204,0.49982,0.05466,0.73591,0.60417,0.6398,0.24054,0.73763,0.5741,0.0607,0.000239532,0.000239532,0.000239532
105,4833.19,0.56084,0.49911,0.04207,0.68518,0.65972,0.61644,0.25508,0.72197,0.57713,0.06007,0.000235631,0.000235631,0.000235631
106,4878.8,0.58622,0.50004,0.04925,0.71126,0.66715,0.64468,0.26298,0.71984,0.55922,0.05633,0.000231733,0.000231733,0.000231733
107,4924.28,0.57252,0.48202,0.04098,0.75045,0.67361,0.68517,0.27866,0.70671,0.54842,0.05602,0.000227841,0.000227841,0.000227841
108,4969.86,0.55849,0.46883,0.04262,0.7547,0.65278,0.67577,0.28024,0.72267,0.56763,0.05908,0.000223954,0.000223954,0.000223954
109,5015.35,0.56987,0.48123,0.05544,0.72263,0.67014,0.67118,0.27993,0.72622,0.5651,0.05986,0.000220073,0.000220073,0.000220073
110,5060.85,0.54981,0.47322,0.0474,0.74617,0.70139,0.71767,0.28913,0.71145,0.5573,0.05714,0.000216201,0.000216201,0.000216201
111,5107.07,0.5672,0.46328,0.05042,0.77022,0.65972,0.6818,0.27967,0.72204,0.54673,0.05856,0.000212337,0.000212337,0.000212337
112,5152.75,0.56637,0.47554,0.05816,0.73341,0.70139,0.69981,0.30057,0.68368,0.58499,0.0536,0.000208483,0.000208483,0.000208483
113,5198.93,0.54969,0.48739,0.05341,0.77159,0.65972,0.71166,0.31483,0.6859,0.56969,0.05411,0.000204639,0.000204639,0.000204639
114,5245.2,0.55948,0.47443,0.05267,0.71515,0.67708,0.70054,0.28232,0.74244,0.53698,0.06336,0.000200807,0.000200807,0.000200807
115,5290.86,0.54026,0.47022,0.05652,0.69443,0.68403,0.65439,0.25787,0.73892,0.55547,0.06111,0.000196987,0.000196987,0.000196987
116,5336.5,0.54872,0.48079,0.05761,0.70657,0.70233,0.69422,0.31288,0.69501,0.54366,0.05765,0.00019318,0.00019318,0.00019318
117,5382.03,0.55707,0.47095,0.04346,0.74707,0.65278,0.66917,0.2781,0.77037,0.52447,0.06474,0.000189388,0.000189388,0.000189388
118,5427.53,0.60189,0.47323,0.05828,0.83353,0.62589,0.71703,0.31583,0.70525,0.52693,0.05714,0.000185612,0.000185612,0.000185612
119,5473.93,0.54245,0.46792,0.0519,0.70676,0.74306,0.70934,0.27973,0.7601,0.52656,0.0644,0.000181851,0.000181851,0.000181851
120,5519.5,0.55036,0.49239,0.04677,0.76998,0.69738,0.72035,0.30839,0.73707,0.54241,0.05985,0.000178107,0.000178107,0.000178107
121,5565.74,0.54725,0.47484,0.04212,0.69826,0.72917,0.6656,0.27347,0.75097,0.54744,0.06357,0.000174382,0.000174382,0.000174382
122,5611.36,0.52947,0.48668,0.05451,0.71233,0.69444,0.69977,0.31914,0.71755,0.54835,0.05829,0.000170676,0.000170676,0.000170676
123,5657.99,0.5448,0.47125,0.04464,0.74893,0.68358,0.68117,0.30431,0.70387,0.55555,0.05529,0.000166989,0.000166989,0.000166989
124,5703.98,0.52683,0.46131,0.04916,0.75149,0.7035,0.69388,0.29864,0.70769,0.54411,0.05804,0.000163323,0.000163323,0.000163323
125,5749.57,0.52723,0.46889,0.05069,0.78507,0.70486,0.699,0.30925,0.70214,0.5398,0.05667,0.000159679,0.000159679,0.000159679
126,5795.06,0.54564,0.46031,0.04945,0.75273,0.71875,0.70647,0.32007,0.70919,0.52969,0.05942,0.000156057,0.000156057,0.000156057
127,5841.43,0.53543,0.45567,0.03953,0.73904,0.74733,0.72733,0.32691,0.68172,0.53149,0.05305,0.000152459,0.000152459,0.000152459
128,5887.62,0.51514,0.45213,0.05792,0.70818,0.71181,0.70657,0.30721,0.70497,0.55207,0.05584,0.000148886,0.000148886,0.000148886
129,5933.2,0.53099,0.45376,0.06518,0.75751,0.6875,0.69146,0.30706,0.71927,0.53983,0.06362,0.000145337,0.000145337,0.000145337
130,5978.81,0.52698,0.47172,0.05145,0.7406,0.69097,0.6879,0.28662,0.73877,0.53702,0.06799,0.000141815,0.000141815,0.000141815
131,6024.37,0.51395,0.45738,0.04607,0.73374,0.71765,0.71451,0.31241,0.714,0.53241,0.05857,0.00013832,0.00013832,0.00013832
132,6069.91,0.53061,0.44327,0.04801,0.73763,0.73214,0.71623,0.326,0.71111,0.53338,0.0587,0.000134852,0.000134852,0.000134852
133,6115.5,0.5099,0.44691,0.04414,0.77647,0.67014,0.71787,0.32925,0.71584,0.52873,0.06128,0.000131414,0.000131414,0.000131414
134,6161.85,0.52984,0.44977,0.0544,0.76609,0.68056,0.73452,0.32726,0.70438,0.52488,0.06003,0.000128005,0.000128005,0.000128005
135,6207.33,0.48723,0.44737,0.04208,0.78187,0.69698,0.73774,0.33762,0.71725,0.53635,0.06056,0.000124626,0.000124626,0.000124626
136,6253.65,0.53257,0.44879,0.06512,0.8104,0.6875,0.72226,0.30116,0.75114,0.52284,0.06878,0.000121278,0.000121278,0.000121278
137,6299.22,0.50357,0.44986,0.06026,0.78775,0.72166,0.73066,0.34326,0.69039,0.53636,0.05625,0.000117963,0.000117963,0.000117963
138,6345.57,0.51028,0.44204,0.05079,0.80537,0.68965,0.72661,0.32103,0.70188,0.53984,0.05761,0.000114681,0.000114681,0.000114681
139,6393.33,0.5001,0.4519,0.04181,0.76834,0.70486,0.74252,0.3399,0.71119,0.52701,0.06068,0.000111432,0.000111432,0.000111432
140,6439.83,0.48852,0.45621,0.03887,0.78583,0.71181,0.74197,0.32202,0.7404,0.50484,0.06627,0.000108217,0.000108217,0.000108217
141,6485.45,0.51761,0.44708,0.05607,0.77608,0.72569,0.7308,0.34435,0.70499,0.5112,0.05997,0.000105038,0.000105038,0.000105038
142,6531.66,0.48661,0.45821,0.04553,0.78571,0.73839,0.74908,0.36374,0.69688,0.49434,0.05661,0.000101895,0.000101895,0.000101895
143,6577.88,0.49324,0.44653,0.04507,0.74555,0.73251,0.71381,0.33878,0.74966,0.49067,0.06751,9.87894e-05,9.87894e-05,9.87894e-05
144,6623.47,0.49929,0.43465,0.05037,0.79562,0.72222,0.74294,0.35287,0.73679,0.47963,0.06291,9.57209e-05,9.57209e-05,9.57209e-05
145,6668.99,0.50227,0.45461,0.05196,0.76638,0.73611,0.70786,0.34597,0.70656,0.51266,0.05745,9.26908e-05,9.26908e-05,9.26908e-05
146,6714.61,0.50247,0.46228,0.05989,0.79129,0.71089,0.72487,0.35883,0.71015,0.50524,0.05822,8.96998e-05,8.96998e-05,8.96998e-05
147,6760.2,0.50479,0.44828,0.043,0.75991,0.72222,0.71761,0.32538,0.71854,0.53261,0.06411,8.67487e-05,8.67487e-05,8.67487e-05
148,6805.82,0.49786,0.45454,0.05919,0.77923,0.71875,0.73343,0.34472,0.68538,0.53485,0.05679,8.38381e-05,8.38381e-05,8.38381e-05
149,6851.46,0.48947,0.44881,0.03831,0.83962,0.69097,0.74084,0.3431,0.71722,0.51206,0.06072,8.09689e-05,8.09689e-05,8.09689e-05
150,6897.1,0.46828,0.44031,0.04976,0.83317,0.69444,0.73842,0.34207,0.71775,0.50348,0.06242,7.81417e-05,7.81417e-05,7.81417e-05
151,6942.64,0.48534,0.43791,0.04159,0.86212,0.67306,0.74396,0.34862,0.7049,0.51924,0.06283,7.53572e-05,7.53572e-05,7.53572e-05
152,6988.66,0.48917,0.43944,0.04019,0.84994,0.68833,0.73278,0.35771,0.70999,0.50715,0.06137,7.26161e-05,7.26161e-05,7.26161e-05
153,7034.31,0.4649,0.43426,0.04607,0.81221,0.6875,0.71945,0.33832,0.72716,0.51231,0.06572,6.99191e-05,6.99191e-05,6.99191e-05
154,7079.92,0.48759,0.42807,0.04393,0.86034,0.68056,0.72894,0.35374,0.69854,0.51987,0.06073,6.72668e-05,6.72668e-05,6.72668e-05
155,7125.5,0.47764,0.43351,0.0403,0.86632,0.67708,0.73138,0.35461,0.71804,0.51266,0.06707,6.46599e-05,6.46599e-05,6.46599e-05
156,7173.98,0.47186,0.44042,0.03744,0.83969,0.69097,0.75065,0.36527,0.70067,0.5147,0.06113,6.2099e-05,6.2099e-05,6.2099e-05
157,7220.21,0.49185,0.4298,0.05812,0.83006,0.69444,0.76183,0.36888,0.68257,0.51513,0.05613,5.95848e-05,5.95848e-05,5.95848e-05
158,7266.58,0.49368,0.42251,0.05726,0.83942,0.70833,0.75461,0.36404,0.67787,0.5114,0.0541,5.71179e-05,5.71179e-05,5.71179e-05
159,7312.26,0.49103,0.42209,0.03877,0.84654,0.70872,0.7468,0.34665,0.69193,0.51378,0.05679,5.46989e-05,5.46989e-05,5.46989e-05
160,7357.77,0.47527,0.43893,0.04629,0.83892,0.71181,0.74807,0.36722,0.67538,0.52121,0.05514,5.23284e-05,5.23284e-05,5.23284e-05
161,7403.45,0.47422,0.43684,0.04789,0.83459,0.70139,0.75508,0.36006,0.70161,0.50488,0.06263,5.0007e-05,5.0007e-05,5.0007e-05
162,7449.08,0.456,0.42004,0.03375,0.80873,0.73958,0.76709,0.37138,0.69084,0.50497,0.05905,4.77353e-05,4.77353e-05,4.77353e-05
163,7495.41,0.47251,0.43386,0.03576,0.83978,0.71875,0.76342,0.36583,0.70197,0.5015,0.0625,4.55137e-05,4.55137e-05,4.55137e-05
164,7541,0.4475,0.42173,0.03204,0.80933,0.72569,0.74736,0.35586,0.69244,0.51461,0.0598,4.33429e-05,4.33429e-05,4.33429e-05
165,7586.64,0.46594,0.42279,0.0422,0.84892,0.68056,0.74864,0.36681,0.70287,0.50438,0.06111,4.12234e-05,4.12234e-05,4.12234e-05
166,7632.23,0.47181,0.41872,0.04287,0.82868,0.68861,0.74308,0.35626,0.71704,0.50425,0.0625,3.91558e-05,3.91558e-05,3.91558e-05
167,7677.8,0.4277,0.4143,0.03469,0.83943,0.68979,0.73709,0.35472,0.7182,0.50408,0.06158,3.71404e-05,3.71404e-05,3.71404e-05
168,7723.34,0.46623,0.41714,0.03977,0.84701,0.71181,0.74787,0.35962,0.72012,0.50007,0.06309,3.51779e-05,3.51779e-05,3.51779e-05
