epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,2313.35,0.70899,0.85506,0.06451,0.17657,0.4375,0.16733,0.06454,0.74687,0.76573,0.06439,0.000249705,0.000249705,0.000249705
56,2357.54,0.68933,0.78589,0.06637,0.19796,0.48611,0.21501,0.07809,0.7131,0.83419,0.05842,0.000247943,0.000247943,0.000247943
57,2399.1,0.69208,0.77952,0.0682,0.21974,0.4684,0.21613,0.07687,0.71454,0.81947,0.06542,0.000246157,0.000246157,0.000246157
58,2440.97,0.70261,0.78733,0.06603,0.2339,0.42617,0.2359,0.08716,0.74243,0.79741,0.06612,0.000244349,0.000244349,0.000244349
59,2483.39,0.67571,0.81283,0.06132,0.17924,0.39931,0.16826,0.0668,0.73404,0.80714,0.06737,0.000242517,0.000242517,0.000242517
60,2525.32,0.67065,0.79953,0.05209,0.16995,0.50833,0.17738,0.07543,0.72508,0.81734,0.06456,0.000240662,0.000240662,0.000240662
61,2567.09,0.67045,0.81134,0.06091,0.19513,0.46181,0.20739,0.08309,0.71664,0.81847,0.06244,0.000238786,0.000238786,0.000238786
62,2609.62,0.67011,0.77137,0.06436,0.20477,0.42708,0.21519,0.08712,0.72862,0.80018,0.06067,0.000236888,0.000236888,0.000236888
63,2651.7,0.67201,0.76668,0.06814,0.20164,0.49653,0.20927,0.08959,0.71318,0.83443,0.06007,0.000234969,0.000234969,0.000234969
64,2694.19,0.65327,0.78492,0.05976,0.23497,0.42444,0.22108,0.08388,0.71689,0.79328,0.05993,0.00023303,0.00023303,0.00023303
65,2736.45,0.67775,0.7739,0.06456,0.22642,0.44097,0.22973,0.09129,0.71136,0.78427,0.0611,0.00023107,0.00023107,0.00023107
66,2778.76,0.63153,0.77924,0.05227,0.24749,0.43056,0.24852,0.09398,0.74836,0.75761,0.06509,0.000229091,0.000229091,0.000229091
67,2824.37,0.68841,0.72719,0.0706,0.24575,0.4375,0.23724,0.10064,0.73644,0.79842,0.06554,0.000227093,0.000227093,0.000227093
68,2866.96,0.67221,0.74276,0.06038,0.3268,0.43403,0.28587,0.10935,0.74387,0.73647,0.06346,0.000225076,0.000225076,0.000225076
69,2909.84,0.64882,0.74715,0.05633,0.29582,0.44792,0.26694,0.10355,0.72995,0.73479,0.05996,0.00022304,0.00022304,0.00022304
70,2951.76,0.66115,0.71,0.05487,0.32675,0.47222,0.30696,0.1256,0.76328,0.69755,0.06652,0.000220988,0.000220988,0.000220988
71,2997.81,0.69079,0.73863,0.05857,0.36535,0.47222,0.32056,0.12586,0.76429,0.69492,0.06494,0.000218918,0.000218918,0.000218918
72,3040.4,0.67911,0.68699,0.06296,0.30969,0.44084,0.27074,0.11111,0.73848,0.75698,0.06816,0.000216831,0.000216831,0.000216831
73,3082.64,0.67533,0.68729,0.06384,0.33599,0.44097,0.31977,0.12279,0.74631,0.73484,0.06396,0.000214728,0.000214728,0.000214728
74,3124.84,0.68106,0.71572,0.05643,0.33915,0.42708,0.29571,0.11492,0.73476,0.76032,0.06108,0.00021261,0.00021261,0.00021261
75,3167.14,0.64921,0.74622,0.05269,0.38394,0.4025,0.32891,0.13319,0.70884,0.73776,0.05914,0.000210476,0.000210476,0.000210476
76,3210.12,0.65533,0.72728,0.05792,0.39889,0.45139,0.33595,0.1259,0.75728,0.75645,0.06909,0.000208328,0.000208328,0.000208328
77,3252.01,0.6699,0.67284,0.06258,0.38563,0.43403,0.36418,0.14726,0.72831,0.68265,0.06357,0.000206166,0.000206166,0.000206166
78,3295.01,0.71524,0.69515,0.06423,0.46241,0.47787,0.42098,0.16511,0.73299,0.66679,0.05979,0.000203991,0.000203991,0.000203991
79,3337.4,0.67819,0.58123,0.06296,0.42836,0.54901,0.40526,0.15881,0.76714,0.61335,0.06759,0.000201803,0.000201803,0.000201803
80,3379.53,0.71309,0.54138,0.05729,0.51762,0.5887,0.49167,0.19006,0.73851,0.60318,0.06455,0.000199602,0.000199602,0.000199602
