epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
86,2019.65,0.73714,0.55186,0.06909,0.59695,0.56597,0.46766,0.18085,0.81561,0.5888,0.08149,0.000310278,0.000310278,0.000310278
87,2043.78,0.7588,0.55656,0.07678,0.58252,0.57639,0.50226,0.18791,0.77062,0.59198,0.07315,0.00030649,0.00030649,0.00030649
88,2067.81,0.77336,0.55587,0.06698,0.47628,0.58681,0.46305,0.1454,0.86404,0.57692,0.08894,0.00030269,0.00030269,0.00030269
89,2091.19,0.75497,0.53482,0.08183,0.59261,0.55208,0.48922,0.188,0.80647,0.56906,0.07837,0.000298877,0.000298877,0.000298877
90,2115.22,0.74487,0.53058,0.06916,0.6498,0.58629,0.53543,0.2197,0.7526,0.57996,0.06195,0.000295052,0.000295052,0.000295052
91,2139.23,0.71531,0.53656,0.05533,0.60881,0.58333,0.52835,0.20509,0.80314,0.57182,0.0776,0.000291218,0.000291218,0.000291218
92,2162.46,0.73478,0.54154,0.06214,0.62166,0.58333,0.5308,0.19569,0.84946,0.55043,0.08752,0.000287373,0.000287373,0.000287373
93,2185.76,0.74909,0.5311,0.05571,0.62184,0.62153,0.54716,0.22353,0.79371,0.55257,0.07022,0.00028352,0.00028352,0.00028352
94,2209.79,0.7074,0.52512,0.0689,0.6124,0.58681,0.53276,0.19117,0.81534,0.57493,0.07665,0.000279659,0.000279659,0.000279659
95,2233.11,0.71334,0.54462,0.06248,0.56117,0.57292,0.47279,0.17408,0.85547,0.5545,0.09236,0.000275792,0.000275792,0.000275792
96,2256.43,0.69697,0.55131,0.06105,0.65673,0.558,0.54744,0.21627,0.82789,0.55317,0.09075,0.000271919,0.000271919,0.000271919
97,2279.65,0.69507,0.52095,0.06046,0.56854,0.63889,0.56266,0.21119,0.86207,0.54013,0.09291,0.000268041,0.000268041,0.000268041
